feature_set,n_features,class,precision,recall,f1,support
Top-6,6,DoS,0.9995764865322717,0.9987305348679756,0.9991533316399966,11816.0
Top-6,6,MITM ARP Spoofing,0.7421317111875165,0.9508641138597086,0.833630421865716,2951.0
Top-6,6,Mirai,0.9955221207236253,0.9653663111821308,0.9802123381891291,28787.0
Top-6,6,Normal,0.992836149889787,0.9901080784026378,0.9914702375492983,5459.0
Top-6,6,Scan,0.9285283474065139,0.9476762080640198,0.938004569687738,3249.0
Top-9,9,DoS,0.9995764865322717,0.9987305348679756,0.9991533316399966,11816.0
Top-9,9,MITM ARP Spoofing,0.7526910656620022,0.9478143002372077,0.8390580470976451,2951.0
Top-9,9,Mirai,0.995066495066495,0.9668947788932504,0.9807783787593157,28787.0
Top-9,9,Normal,0.9924646204741775,0.9891921597362154,0.9908256880733946,5459.0
Top-9,9,Scan,0.9272617974150886,0.9495229301323485,0.9382603406326034,3249.0
Top-16,16,DoS,0.9997458488647916,0.9987305348679756,0.9992379339542761,11816.0
Top-16,16,MITM ARP Spoofing,0.7702221003564573,0.9518807184005422,0.8514701424674144,2951.0
Top-16,16,Mirai,0.9957231449141065,0.9705075207558967,0.982953645879145,28787.0
Top-16,16,Normal,0.9950239587172871,0.9890089760029309,0.9920073495636197,5459.0
Top-16,16,Scan,0.9365795010519988,0.9590643274853801,0.9476885644768857,3249.0
Top-25,25,DoS,0.9998306233062331,0.9991536899119837,0.9994920419911953,11816.0
Top-25,25,MITM ARP Spoofing,0.7718526663001649,0.9515418502202643,0.8523296403096069,2951.0
Top-25,25,Mirai,0.9955851461530245,0.971375968319033,0.9833315750606604,28787.0
Top-25,25,Normal,0.9966759002770084,0.988642608536362,0.9926430016553246,5459.0
Top-25,25,Scan,0.9393482196741099,0.9581409664512157,0.9486515313119,3249.0
Top-35,35,DoS,0.999830608960786,0.9990690589031821,0.9994496888625493,11816.0
Top-35,35,MITM ARP Spoofing,0.7753182069728832,0.9495086411385971,0.8536176694592537,2951.0
Top-35,35,Mirai,0.9954102326905288,0.9718622989543891,0.9834953333450512,28787.0
Top-35,35,Normal,0.9957564575645756,0.988642608536362,0.992186781873334,5459.0
Top-35,35,Scan,0.9393665158371041,0.9584487534626038,0.9488117001828154,3249.0
