xgb_feature,transformed_feature,total_gain,original_feature
f0,numeric__Src_Port,1286200.5,Src_Port
f1,numeric__Dst_Port,1291268.875,Dst_Port
f2,numeric__Flow_Duration,1325467.125,Flow_Duration
f3,numeric__Tot_Fwd_Pkts,1748.6002197265625,Tot_Fwd_Pkts
f4,numeric__Tot_Bwd_Pkts,581.6610717773438,Tot_Bwd_Pkts
f5,numeric__TotLen_Fwd_Pkts,11424.880859375,TotLen_Fwd_Pkts
f6,numeric__TotLen_Bwd_Pkts,18546.65625,TotLen_Bwd_Pkts
f7,numeric__Fwd_Pkt_Len_Max,6555.34033203125,Fwd_Pkt_Len_Max
f8,numeric__Fwd_Pkt_Len_Min,25147.615234375,Fwd_Pkt_Len_Min
f9,numeric__Fwd_Pkt_Len_Mean,7224.75830078125,Fwd_Pkt_Len_Mean
f10,numeric__Fwd_Pkt_Len_Std,1037.82373046875,Fwd_Pkt_Len_Std
f11,numeric__Bwd_Pkt_Len_Max,17000.28515625,Bwd_Pkt_Len_Max
f12,numeric__Bwd_Pkt_Len_Min,13079.1337890625,Bwd_Pkt_Len_Min
f13,numeric__Bwd_Pkt_Len_Mean,4466.3466796875,Bwd_Pkt_Len_Mean
f14,numeric__Bwd_Pkt_Len_Std,6982.7939453125,Bwd_Pkt_Len_Std
f15,numeric__Flow_Byts/s,19403.22265625,Flow_Byts/s
f16,numeric__Flow_Pkts/s,409646.78125,Flow_Pkts/s
f17,numeric__Flow_IAT_Mean,16471.548828125,Flow_IAT_Mean
f18,numeric__Flow_IAT_Std,40525.625,Flow_IAT_Std
f19,numeric__Flow_IAT_Max,192617.109375,Flow_IAT_Max
f20,numeric__Flow_IAT_Min,32877.17578125,Flow_IAT_Min
f21,numeric__Fwd_IAT_Tot,2531.957763671875,Fwd_IAT_Tot
f22,numeric__Fwd_IAT_Mean,886.9122924804688,Fwd_IAT_Mean
f23,numeric__Fwd_IAT_Std,58.6781120300293,Fwd_IAT_Std
f24,numeric__Fwd_IAT_Max,341.2765808105469,Fwd_IAT_Max
f25,numeric__Fwd_IAT_Min,5177.02734375,Fwd_IAT_Min
f26,numeric__Bwd_IAT_Tot,14811.099609375,Bwd_IAT_Tot
f27,numeric__Bwd_IAT_Mean,3475.46337890625,Bwd_IAT_Mean
f28,numeric__Bwd_IAT_Std,48654.3359375,Bwd_IAT_Std
f29,numeric__Bwd_IAT_Max,2177.412841796875,Bwd_IAT_Max
f30,numeric__Bwd_IAT_Min,2952.60009765625,Bwd_IAT_Min
f31,numeric__Bwd_PSH_Flags,14121.078125,Bwd_PSH_Flags
f32,numeric__Bwd_URG_Flags,0.0,Bwd_URG_Flags
f33,numeric__Fwd_Header_Len,12147.63671875,Fwd_Header_Len
f34,numeric__Bwd_Header_Len,41489.484375,Bwd_Header_Len
f35,numeric__Fwd_Pkts/s,22441.1328125,Fwd_Pkts/s
f36,numeric__Bwd_Pkts/s,87384.8515625,Bwd_Pkts/s
f37,numeric__Pkt_Len_Min,6856.8671875,Pkt_Len_Min
f38,numeric__Pkt_Len_Max,44663.140625,Pkt_Len_Max
f39,numeric__Pkt_Len_Mean,10762.3525390625,Pkt_Len_Mean
f40,numeric__Pkt_Len_Std,12089.37890625,Pkt_Len_Std
f41,numeric__Pkt_Len_Var,3468.745361328125,Pkt_Len_Var
f42,numeric__FIN_Flag_Cnt,349.1382751464844,FIN_Flag_Cnt
f43,numeric__SYN_Flag_Cnt,4430.74072265625,SYN_Flag_Cnt
f44,numeric__RST_Flag_Cnt,464.6413269042969,RST_Flag_Cnt
f45,numeric__PSH_Flag_Cnt,2792.25927734375,PSH_Flag_Cnt
f46,numeric__ACK_Flag_Cnt,144728.328125,ACK_Flag_Cnt
f47,numeric__URG_Flag_Cnt,0.0,URG_Flag_Cnt
f48,numeric__CWE_Flag_Count,80.1111068725586,CWE_Flag_Count
f49,numeric__ECE_Flag_Cnt,166.62057495117188,ECE_Flag_Cnt
f50,numeric__Down/Up_Ratio,1611.193115234375,Down/Up_Ratio
f51,numeric__Pkt_Size_Avg,7397.25048828125,Pkt_Size_Avg
f52,numeric__Fwd_Seg_Size_Avg,4023.36181640625,Fwd_Seg_Size_Avg
f53,numeric__Bwd_Seg_Size_Avg,462.59490966796875,Bwd_Seg_Size_Avg
f54,numeric__Subflow_Fwd_Pkts,0.0,Subflow_Fwd_Pkts
f55,numeric__Subflow_Fwd_Byts,1003.6438598632812,Subflow_Fwd_Byts
f56,numeric__Subflow_Bwd_Pkts,69.56157684326172,Subflow_Bwd_Pkts
f57,numeric__Subflow_Bwd_Byts,1247.1856689453125,Subflow_Bwd_Byts
f58,numeric__Init_Bwd_Win_Byts,355626.75,Init_Bwd_Win_Byts
f59,numeric__Fwd_Act_Data_Pkts,4509.3134765625,Fwd_Act_Data_Pkts
f60,numeric__Active_Mean,0.1912841796875,Active_Mean
f61,numeric__Active_Std,0.0,Active_Std
f62,numeric__Active_Max,10.9058837890625,Active_Max
f63,numeric__Active_Min,1.003662109375,Active_Min
f64,numeric__Idle_Mean,15048.3388671875,Idle_Mean
f65,numeric__Idle_Std,61373.81640625,Idle_Std
f66,numeric__Idle_Max,7894.498046875,Idle_Max
f67,numeric__Idle_Min,5273.5576171875,Idle_Min
f68,protocol__Protocol_0,0.002984553575515747,Protocol
f69,protocol__Protocol_6,1123.359375,Protocol
f70,protocol__Protocol_17,476778.5,Protocol
